Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
1,01-07-2017,14,Düsseldorf,Düsseldorf,Individual time trial,Geraint Thomas,GBR
2,02-07-2017,203.5,Düsseldorf,Liège,Flat stage,Marcel Kittel,GER
3,03-07-2017,212.5,Verviers,Longwy,Medium mountain stage,Peter Sagan,SVK
4,04-07-2017,207.5,Mondorf-les-Bains,Vittel,Flat stage,Arnaud Démare,FRA
5,05-07-2017,160.5,Vittel,La Planche des Belles Filles,Medium mountain stage,Fabio Aru,ITA
6,06-07-2017,216,Vesoul,Troyes,Flat stage,Marcel Kittel,GER
7,07-07-2017,213.5,Troyes,Nuits-Saint-Georges,Flat stage,Marcel Kittel,GER
8,08-07-2017,187.5,Dole,Station des Rousses,Medium mountain stage,Lilian Calmejane,FRA
9,09-07-2017,181.5,Nantua,Chambéry,High mountain stage,Rigoberto Urán,COL
10,11-07-2017,178,Périgueux,Bergerac,Flat stage,Marcel Kittel,GER
11,12-07-2017,203.5,Eymet,Pau,Flat stage,Marcel Kittel,GER
12,13-07-2017,214.5,Pau,Peyragudes,High mountain stage,Romain Bardet,FRA
13,14-07-2017,101,Saint-Girons,Foix,High mountain stage,Warren Barguil,FRA
14,15-07-2017,181.5,Blagnac,Rodez,Medium mountain stage,Michael Matthews,AUS
15,16-07-2017,189.5,Laissac-Sévérac-l'Église,Le Puy-en-Velay,Medium mountain stage,Bauke Mollema,NED
16,18-07-2017,165,Le Puy-en-Velay,Romans-sur-Isère,Medium mountain stage,Michael Matthews,AUS
17,19-07-2017,183,La Mure,Serre Chevalier,High mountain stage,Primož Roglič,SLO
18,20-07-2017,179.5,Briançon,Col d'Izoard,High mountain stage,Warren Barguil,FRA
19,21-07-2017,222.5,Embrun,Salon-de-Provence,Flat stage,Edvald Boasson Hagen,NOR
20,22-07-2017,22.5,Marseille,Marseille,Individual time trial,Maciej Bodnar,POL
21,23-07-2017,103,Montgeron,Paris,Flat stage,Dylan Groenewegen,NED
1,02-07-2016,188,Mont Saint-Michel,Utah Beach,Flat stage,Mark Cavendish,GBR
2,03-07-2016,183,Saint-Lô,Cherbourg-en-Cotentin,Flat stage,Peter Sagan,SVK
3,04-07-2016,223.5,Granville,Angers,Flat stage,Mark Cavendish,GBR
4,05-07-2016,237.5,Saumur,Limoges,Flat stage,Marcel Kittel,GER
5,06-07-2016,216,Limoges,Le Lioran,Medium mountain stage,Greg Van Avermaet,BEL
6,07-07-2016,190.5,Arpajon-sur-Cère,Montauban,Flat stage,Mark Cavendish,GBR
7,08-07-2016,162.5,L'Isle-Jourdain,Lac de Payolle,Medium mountain stage,Steve Cummings,GBR
8,09-07-2016,184,Pau,Bagnères-de-Luchon,High mountain stage,Chris Froome,GBR
9,10-07-2016,184.5,Vielha Val d'Aran,Andorra-Arcalis,High mountain stage,Tom Dumoulin,NED
10,12-07-2016,197,Escaldes-Engordany,Revel,Medium mountain stage,Michael Matthews,AUS
11,13-07-2016,162.5,Carcassonne,Montpellier,Flat stage,Peter Sagan,SVK
12,14-07-2016,178,Montpellier,Chalet Reynard,High mountain stage,Thomas De Gendt,BEL
13,15-07-2016,37.5,Bourg-Saint-Andéol,La Caverne du Pont-d'Arc,Individual time trial,Tom Dumoulin,NED
14,16-07-2016,208.5,Montélimar,Villars-les-Dombes,Flat stage,Mark Cavendish,GBR
15,17-07-2016,160,Bourg-en-Bresse,Culoz,High mountain stage,Jarlinson Pantano,COL
16,18-07-2016,209,Moirans-en-Montagne,Bern,Flat stage,Peter Sagan,SVK
17,20-07-2016,184.5,Bern,Finhaut-Émosson,High mountain stage,Ilnur Zakarin,RUS
18,21-07-2016,17,Sallanches,Megève,Mountain time trial,Chris Froome,GBR
19,22-07-2016,146,Albertville,Saint Gervais-les-Bains,High mountain stage,Romain Bardet,FRA
20,23-07-2016,146.5,Megève,Morzine,High mountain stage,Ion Izagirre,ESP
21,24-07-2016,113,Chantilly,Paris,Flat stage,André Greipel,GER
1,04-07-2015,13.8,Utrecht,Utrecht,Individual time trial,Rohan Dennis,AUS
2,05-07-2015,166,Utrecht,Zeeland,Flat stage,André Greipel,GER
3,06-07-2015,159.5,Antwerp,Huy,Flat stage,Joaquim Rodríguez,ESP
4,07-07-2015,223.5,Seraing,Cambrai,Medium mountain stage,Tony Martin,GER
5,08-07-2015,189.5,Arras,Amiens,Flat stage,André Greipel,GER
6,09-07-2015,191.5,Abbeville,Le Havre,Flat stage,Zdeněk Štybar,CZE
7,10-07-2015,190.5,Livarot,Fougères,Flat stage,Mark Cavendish,GBR
8,11-07-2015,181.5,Rennes,Mûr-de-Bretagne,Flat stage,Alexis Vuillermoz,FRA
9,12-07-2015,28,Vannes,Plumelec,Team time trial,BMC Racing Team,USA
10,14-07-2015,167,Tarbes,La Pierre Saint-Martin,High mountain stage,Chris Froome,GBR
11,15-07-2015,188,Pau,Cauterets,High mountain stage,Rafał Majka,POL
12,16-07-2015,195,Lannemezan,Plateau de Beille,High mountain stage,Joaquim Rodríguez,ESP
13,17-07-2015,198.5,Muret,Rodez,Medium mountain stage,Greg Van Avermaet,BEL
14,18-07-2015,178.5,Rodez,Mende,Medium mountain stage,Steve Cummings,GBR
15,19-07-2015,183,Mende,Valence,Medium mountain stage,André Greipel,GER
16,20-07-2015,201,Bourg-de-Péage,Gap,Medium mountain stage,Rubén Plaza Molina,ESP
17,22-07-2015,161,Digne-les-Bains,Pra-Loup,High mountain stage,Simon Geschke,GER
18,23-07-2015,186.5,Gap,Saint-Jean-de-Maurienne,High mountain stage,Romain Bardet,FRA
19,24-07-2015,138,Saint-Jean-de-Maurienne,La Toussuire - Les Sybelles,High mountain stage,Vincenzo Nibali,ITA
20,25-07-2015,110.5,Modane,Alpe d'Huez,High mountain stage,Thibaut Pinot,FRA
21,26-07-2015,109.5,Sèvres,Paris,Flat stage,André Greipel,GER
1,05-07-2014,190.5,Leeds,Harrogate,Flat stage,Marcel Kittel,GER
2,06-07-2014,201,York,Sheffield,Medium mountain stage,Vincenzo Nibali,ITA
3,07-07-2014,155,Cambridge,London,Flat stage,Marcel Kittel,GER
4,08-07-2014,163.5,Le Touquet-Paris-Plage,Lille Metropole,Flat stage,Marcel Kittel,GER
5,09-07-2014,152.5,Ypres,Arenberg Porte du Hainaut,Medium mountain stage,Lars Boom,NED
6,10-07-2014,194,Arras,Reims,Flat stage,André Greipel,GER
7,11-07-2014,234.5,Épernay,Nancy,Flat stage,Matteo Trentin,ITA
8,12-07-2014,161,Tomblaine,Gérardmer La Mauselaine,Medium mountain stage,Blel Kadri,FRA
9,13-07-2014,170,Gérardmer,Mulhouse,Medium mountain stage,Tony Martin,GER
10,14-07-2014,161.5,Mulhouse,La Planche des Belles Filles,High mountain stage,Vincenzo Nibali,ITA
11,16-07-2014,187.5,Besançon,Oyonnax,Medium mountain stage,Tony Gallopin,FRA
12,17-07-2014,185.5,Bourg-en-Bresse,Saint-Étienne,Flat stage,Alexander Kristoff,NOR
13,18-07-2014,197.5,Saint-Étienne,Chamrousse,High mountain stage,Vincenzo Nibali,ITA
14,19-07-2014,177,Grenoble,Risoul,High mountain stage,Rafał Majka,POL
15,20-07-2014,222,Tallard,Nîmes,Flat stage,Alexander Kristoff,NOR
16,22-07-2014,237.5,Carcassonne,Bagnères-de-Luchon,High mountain stage,Michael Rogers,AUS
17,23-07-2014,124.5,Saint-Gaudens,Saint-Lary Pla d’Adet,High mountain stage,Rafał Majka,POL
18,24-07-2014,145.5,Pau,Hautacam,High mountain stage,Vincenzo Nibali,ITA
19,25-07-2014,208.5,Maubourguet Pays du Val d’Adour,Bergerac,Flat stage,Ramūnas Navardauskas,LTU
20,26-07-2014,54,Bergerac,Périgueux,Individual time trial,Tony Martin,GER
21,27-07-2014,137.5,Évry,Paris,Flat stage,Marcel Kittel,GER
1,29-06-2013,213,Porto-Vecchio,Bastia,Flat stage,Marcel Kittel,GER
2,30-06-2013,156,Bastia,Ajaccio,Medium mountain stage,Jan Bakelants,BEL
3,01-07-2013,145.5,Ajaccio,Calvi,Medium mountain stage,Simon Gerrans,AUS
4,02-07-2013,25,Nice,Nice,Team time trial,Orica–GreenEDGE,IRL
5,03-07-2013,228.5,Cagnes-sur-Mer,Marseille,Flat stage,Mark Cavendish,GBR
6,04-07-2013,176.5,Aix-en-Provence,Montpellier,Flat stage,André Greipel,GER
7,05-07-2013,205.5,Montpellier,Albi,Flat stage,Peter Sagan,SVK
8,06-07-2013,195,Castres,Ax 3 Domaines,High mountain stage,Chris Froome,GBR
9,07-07-2013,168.5,Saint-Girons,Bagnères-de-Bigorre,High mountain stage,Dan Martin,IRL
10,09-07-2013,197,Saint-Gildas-des-Bois,Saint-Malo,Flat stage,Marcel Kittel,GER
11,10-07-2013,33,Avranches,Mont Saint-Michel,Individual time trial,Tony Martin,GER
12,11-07-2013,218,Fougères,Tours,Flat stage,Marcel Kittel,GER
13,12-07-2013,173,Tours,Saint-Amand-Montrond,Flat stage,Mark Cavendish,GBR
14,13-07-2013,191,Saint-Pourçain-sur-Sioule,Lyon,Medium mountain stage,Matteo Trentin,ITA
15,14-07-2013,242.5,Givors,Mont Ventoux,High mountain stage,Chris Froome,GBR
16,16-07-2013,168,Vaison-la-Romaine,Gap,High mountain stage,Rui Costa,POR
17,17-07-2013,32,Embrun,Chorges,Individual time trial,Chris Froome,GBR
18,18-07-2013,172.5,Gap,Alpe d'Huez,High mountain stage,Christophe Riblon,FRA
19,19-07-2013,204.5,Le Bourg-d'Oisans,Le Grand-Bornand,High mountain stage,Rui Costa,POR
20,20-07-2013,125,Annecy,Semnoz,High mountain stage,Nairo Quintana,COL
21,21-07-2013,133.5,Versailles,Paris,Flat stage,Marcel Kittel,GER
P,30-06-2012,6.4,Liège,Liège,Individual time trial,Fabian Cancellara,SUI
1,01-07-2012,198,Liège,Seraing,Flat stage,Peter Sagan,SVK
2,02-07-2012,207.5,Visé,Tournai,Flat stage,Mark Cavendish,GBR
3,03-07-2012,197,Orchies,Boulogne-sur-Mer,Medium mountain stage,Peter Sagan,SVK
4,04-07-2012,214.5,Abbeville,Rouen,Flat stage,André Greipel,GER
5,05-07-2012,196.5,Rouen,Saint-Quentin,Flat stage,André Greipel,GER
6,06-07-2012,207.5,Épernay,Metz,Flat stage,Peter Sagan,SVK
7,07-07-2012,199,Tomblaine,La Planche des Belles Filles,Medium mountain stage,Chris Froome,GBR
8,08-07-2012,157.5,Belfort,Porrentruy,Medium mountain stage,Thibaut Pinot,FRA
9,09-07-2012,41.5,Arc-et-Senans,Besançon,Individual time trial,Bradley Wiggins,GBR
10,11-07-2012,194.5,Mâcon,Bellegarde-sur-Valserine,High mountain stage,Thomas Voeckler,FRA
11,12-07-2012,148,Albertville,La Toussuire-Les Sybelles,High mountain stage,Pierre Rolland,FRA
12,13-07-2012,226,Saint-Jean-de-Maurienne,Annonay-Davézieux,Medium mountain stage,David Millar,GBR
13,14-07-2012,217,Saint-Paul-Trois-Châteaux,Cap d'Agde,Flat stage,André Greipel,GER
14,15-07-2012,191,Limoux,Foix,High mountain stage,Luis León Sánchez,ESP
15,16-07-2012,158.5,Samatan,Pau,Flat stage,Pierrick Fédrigo,FRA
16,18-07-2012,197,Pau,Bagnères-de-Luchon,High mountain stage,Thomas Voeckler,FRA
17,19-07-2012,143.5,Bagnères-de-Luchon,Peyragudes,High mountain stage,Alejandro Valverde,ESP
18,20-07-2012,222.5,Blagnac,Brive-la-Gaillarde,Flat stage,Mark Cavendish,GBR
19,21-07-2012,53.5,Bonneval,Chartres,Individual time trial,Bradley Wiggins,GBR
20,22-07-2012,120,Rambouillet,Paris,Flat stage,Mark Cavendish,GBR
1,02-07-2011,191.5,Passage du Gois,Mont des Alouettes,Flat stage,Philippe Gilbert,BEL
2,03-07-2011,23,Les Essarts,Les Essarts,Team time trial,Garmin–Cervélo,POR
3,04-07-2011,198,Olonne-sur-Mer,Redon,Flat stage,Tyler Farrar,USA
4,05-07-2011,172.5,Lorient,Mûr-de-Bretagne,Flat stage,Cadel Evans,AUS
5,06-07-2011,164.5,Carhaix,Cap Fréhel,Flat stage,Mark Cavendish,GBR
6,07-07-2011,226.5,Dinan,Lisieux,Flat stage,Edvald Boasson Hagen,NOR
7,08-07-2011,218,Le Mans,Châteauroux,Flat stage,Mark Cavendish,GBR
8,09-07-2011,189,Aigurande,Super Besse,Medium mountain stage,Rui Costa,POR
9,10-07-2011,208,Issoire,Saint-Flour,Medium mountain stage,Luis León Sánchez,ESP
10,12-07-2011,158,Aurillac,Carmaux,Flat stage,André Greipel,GER
11,13-07-2011,167.5,Blaye-les-Mines,Lavaur,Flat stage,Mark Cavendish,GBR
12,14-07-2011,211,Cugnaux,Luz Ardiden,High mountain stage,Samuel Sánchez,ESP
13,15-07-2011,152.5,Pau,Lourdes,High mountain stage,Thor Hushovd,NOR
14,16-07-2011,168.5,Saint-Gaudens,Plateau de Beille,High mountain stage,Jelle Vanendert,BEL
15,17-07-2011,192.5,Limoux,Montpellier,Flat stage,Mark Cavendish,GBR
16,19-07-2011,162.5,Saint-Paul-Trois-Châteaux,Gap,Medium mountain stage,Thor Hushovd,NOR
17,20-07-2011,179,Gap,Pinerolo,High mountain stage,Edvald Boasson Hagen,NOR
18,21-07-2011,200.5,Pinerolo,Col du Galibier-Serre Chevalier,High mountain stage,Andy Schleck,LUX
19,22-07-2011,109.5,Modane,Alpe d'Huez,High mountain stage,Pierre Rolland,FRA
20,23-07-2011,42.5,Grenoble,Grenoble,Individual time trial,Tony Martin,GER
21,24-07-2011,95,Créteil,Paris,Flat stage,Mark Cavendish,GBR
P,03-07-2010,8.9,Rotterdam,Rotterdam,Individual time trial,Fabian Cancellara,SUI
1,04-07-2010,223.5,Rotterdam,Brussels,Flat stage,Alessandro Petacchi,ITA
2,05-07-2010,201,Brussels,Spa,Flat stage,Sylvain Chavanel,FRA
3,06-07-2010,213,Wanze,Arenberg Porte du Hainaut,Flat cobblestone stage,Thor Hushovd,NOR
4,07-07-2010,153.5,Cambrai,Reims,Flat stage,Alessandro Petacchi,ITA
5,08-07-2010,187.5,Épernay,Montargis,Flat stage,Mark Cavendish,GBR
6,09-07-2010,227.5,Montargis,Gueugnon,Flat stage,Mark Cavendish,GBR
7,10-07-2010,165.5,Tournus,Station des Rousses,Medium mountain stage,Sylvain Chavanel,FRA
8,11-07-2010,189,Station des Rousses,Morzine-Avoriaz,Mountain stage,Andy Schleck,LUX
9,13-07-2010,204.5,Morzine-Avoriaz,Saint-Jean-de-Maurienne,Mountain stage,Sandy Casar,FRA
10,14-07-2010,179,Chambéry,Gap,Medium mountain stage,Sérgio Paulinho,POR
11,15-07-2010,184.5,Sisteron,Bourg-lès-Valence,Flat stage,Mark Cavendish,GBR
12,16-07-2010,210.5,Bourg-de-Péage,Mende,Medium mountain stage,Joaquim Rodríguez,ESP
13,17-07-2010,196,Rodez,Revel,Flat stage,Alexander Vinokourov,KAZ
14,18-07-2010,184.5,Revel,Ax 3 Domaines,Mountain stage,Christophe Riblon,FRA
15,19-07-2010,187.5,Pamiers,Bagnères-de-Luchon,Mountain stage,Thomas Voeckler,FRA
16,20-07-2010,199.5,Bagnères-de-Luchon,Pau,Mountain stage,Pierrick Fédrigo,FRA
17,22-07-2010,174,Pau,Col du Tourmalet,Mountain stage,Andy Schleck,LUX
18,23-07-2010,198,Salies-de-Béarn,Bordeaux,Flat stage,Mark Cavendish,GBR
19,24-07-2010,52,Bordeaux,Pauillac,Individual time trial,Fabian Cancellara,SUI
20,25-07-2010,102.5,Longjumeau,Paris,Flat stage,Mark Cavendish,GBR
1,04-07-2009,15.5,Monaco,Monaco,Individual time trial,Fabian Cancellara,SUI
2,05-07-2009,187,Monaco,Brignoles,Flat stage,Mark Cavendish,GBR
3,06-07-2009,196.5,Marseille,La Grande-Motte,Flat stage,Mark Cavendish,GBR
4,07-07-2009,39,Montpellier,Montpellier,Team time trial,Astana,GBR
5,08-07-2009,196.5,Cap d'Agde,Perpignan,Flat stage,Thomas Voeckler,FRA
6,09-07-2009,181.5,Girona,Barcelona,Flat stage,Thor Hushovd,NOR
7,10-07-2009,224,Barcelona,Andorra-Arcalis,Mountain stage,Brice Feillu,FRA
8,11-07-2009,176.5,Andorra la Vella,Saint-Girons,Mountain stage,Luis León Sánchez,ESP
9,12-07-2009,160.5,Saint-Gaudens,Tarbes,Mountain stage,Pierrick Fédrigo,FRA
10,14-07-2009,194.5,Limoges,Issoudun,Flat stage,Mark Cavendish,GBR
11,15-07-2009,192,Vatan,Saint-Fargeau,Flat stage,Mark Cavendish,GBR
12,16-07-2009,211.5,Tonnerre,Vittel,Flat stage,Nicki Sørensen,DEN
13,17-07-2009,200,Vittel,Colmar,Medium mountain stage,Heinrich Haussler,GER
14,18-07-2009,199,Colmar,Besançon,Flat stage,Sergei Ivanov,RUS
15,19-07-2009,207.5,Pontarlier,Verbier,Mountain Stage,Alberto Contador,ESP
16,21-07-2009,159,Martigny,Bourg-Saint-Maurice,Mountain Stage,Sandy Casar,FRA
17,22-07-2009,169.5,Bourg-Saint-Maurice,Le Grand-Bornand,Mountain Stage,Fränk Schleck,LUX
18,23-07-2009,40.5,Annecy,Annecy,Individual time trial,Alberto Contador,ESP
